0	no	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. Is Islam still the majority religion?	it sometimes was
1	yes	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. Is Islam still the majority religion?	yes
2	no	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. Is Islam still the majority religion?	it never was
3	no	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How long has a significant Christian minority remained?	a month
4	no	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How long has a significant Christian minority remained?	a billion weeks
5	yes	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How long has a significant Christian minority remained?	hundreds of years
6	no	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How long has a significant Christian minority remained?	400 hours
7	no	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How long has a significant Christian minority remained?	1000 seconds
8	yes	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How long has a significant Christian minority remained?	1000 years
9	no	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How long has a significant Christian minority remained?	a billion years
10	no	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How long has a significant Christian minority remained?	a billion hours
11	no	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How long has a significant Christian minority remained?	hundreds of hours
12	yes	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. What happened before Islam was the majority religion?	christianity was the majority religion
13	no	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. What happened before Islam was the majority religion?	the end of white-minority rule
14	no	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. What happened before Islam was the majority religion?	he emerged as the heir apparent
15	no	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How often has Christianity been the major religion?	he emerged as a peacemaker
16	no	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How often has Christianity been the major religion?	the last two decades several times
17	no	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How often has Christianity been the major religion?	never
18	no	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How often has Christianity been the major religion?	several weeks later
19	no	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How often has Christianity been the major religion?	it acquire a majority interest
20	no	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How often has Christianity been the major religion?	he emerged as the heir apparent
21	no	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How often has Christianity been the major religion?	the end of white-minority rule
22	no	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How often has Christianity been the major religion?	a dozen times
23	no	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. What day did Islam emerge as the majority religion?	first sunday
24	no	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. What day did Islam emerge as the majority religion?	later sunday
25	no	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. What day did Islam emerge as the majority religion?	sunday
26	no	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. What day did Islam emerge as the majority religion?	7th month
27	no	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. What day did Islam emerge as the majority religion?	7th day
28	no	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	an year
29	yes	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	6 hours
30	yes	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	an hour
31	no	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	an week
32	yes	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	2 hours
33	yes	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	a hour
34	no	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	2 seconds
35	yes	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	the storm lasted through the day
36	yes	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	the storm lasted through the morning
37	no	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	an second
38	no	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	2 weeks
39	no	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	a second
40	no	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	a year
